구,동,단지명,공시제곱미터당가_중위,호수,면적타입수
강북구,미아동,SM빌라(가동),1862971,10,2
강북구,미아동,SM빌라(나동),1870615,10,1
강북구,미아동,SM빌라(라동),1772345,10,1
강북구,미아동,SM빌라다동,1856686,10,2
강북구,미아동,SM빌라마동,1875571,10,2
강북구,미아동,SM빌라바동,1741770,9,3
강북구,미아동,S앤Jvil,3380016,8,1
강북구,미아동,S앤Jvil(314-79),3009185,8,2
강북구,미아동,hhome,4373607,8,2
강북구,미아동,가람빌라,2905032,6,2
강북구,미아동,가람빌리지,2574164,9,3
강북구,미아동,가온빌,3252491,10,6
강북구,미아동,가피제,4996587,12,1
강북구,미아동,강남빌라,2782501,4,3
강북구,미아동,강북빌라트,2715962,11,4
강북구,미아동,강북에이스타운,3548220,10,3
강북구,미아동,강북포스힐,2972440,7,3
강북구,미아동,거유주택,2290076,9,7
강북구,미아동,거창빌라,1816021,4,2
강북구,미아동,건영아트빌,2519110,7,3
강북구,미아동,경남빌라B,2676676,4,4
강북구,미아동,경남빌라C,2744776,6,3
강북구,미아동,경남빌라D,2731809,6,3
강북구,미아동,경남빌라E,2753306,6,6
강북구,미아동,경남아너스빌,5094729,208,3
강북구,미아동,경남아너스빌(1356-0),5396297,860,3
강북구,미아동,경모하늘풍경,3391296,10,5
강북구,미아동,경성,2789284,6,1
강북구,미아동,경성주택,2816901,6,1
강북구,미아동,경일리치빌,4211395,10,3
강북구,미아동,경일리치빌(324-75),4261890,11,5
강북구,미아동,경일리치빌2,4250604,12,3
강북구,미아동,경일리치빌3차,5710401,12,3
강북구,미아동,경일리치빌4차,5619862,11,7
강북구,미아동,경일스톤빌5차,4314531,8,3
강북구,미아동,경일스톤빌7차,4739195,15,3
강북구,미아동,경화빌라,2510288,9,5
강북구,미아동,경화빌라(2차),2318985,11,9
강북구,미아동,고탑102동,2369007,16,7
강북구,미아동,고탑베스트빌101동,2769189,18,2
강북구,미아동,고흥빌딩,3083209,7,7
강북구,미아동,골드하우스,2969348,8,2
강북구,미아동,골든캐슬,3423987,11,5
강북구,미아동,골든펠리스빌,2760666,8,3
강북구,미아동,골든하우스2,3028118,8,3
강북구,미아동,공간행복,2694387,10,5
강북구,미아동,광명주택A동,2984817,6,1
강북구,미아동,광명주택B동,2984817,6,1
강북구,미아동,광미맨션,2470495,6,4
강북구,미아동,광미빌라,2430696,10,7
강북구,미아동,광미하이츠빌,2777777,7,3
강북구,미아동,광성빌라,3325562,12,5
강북구,미아동,광성하이츠빌라,2227706,8,5
강북구,미아동,광신,2934645,6,1
강북구,미아동,광신빌라2동,2831798,6,1
강북구,미아동,광신빌라3동,2881108,6,1
강북구,미아동,광신주택,2155647,9,7
강북구,미아동,광운빌라,1966717,9,1
강북구,미아동,광진하이츠빌라,2314379,10,6
강북구,미아동,국일아트빌,2540322,8,4
강북구,미아동,국일아트빌7차,2681099,8,2
강북구,미아동,궁전빌라,2430574,11,7
강북구,미아동,궁전빌라(258-201),2730748,6,1
강북구,미아동,그랜드빌라(2차),2601279,5,3
강북구,미아동,그랜드하우스(305-52),3693181,8,2
강북구,미아동,그랜드하우스(329-18),2973395,8,3
강북구,미아동,그린빌(303-2),3071672,7,4
강북구,미아동,그린빌(791-1684),2446626,8,4
강북구,미아동,그린빌(84-47),3668602,4,2
강북구,미아동,그린빌라,2511745,7,3
강북구,미아동,그린빌라(783-16),2407109,10,4
강북구,미아동,그린빌라2차,2260922,8,7
강북구,미아동,그린빌라3차,2262342,8,4
강북구,미아동,그린쉐르빌,6840176,10,5
강북구,미아동,그린시티빌,3169398,8,3
강북구,미아동,그린하우스,2395423,7,5
강북구,미아동,그린힐빌라트,2948700,19,2
강북구,미아동,"극동빌라(가,나)",3076102,16,4
강북구,미아동,근화빌라,2149479,9,2
강북구,미아동,금강메트르빌,4129207,6,4
강북구,미아동,금강빌라,2330291,16,8
강북구,미아동,금강빌라A,2735124,6,2
강북구,미아동,금강빌라B,2820910,6,2
강북구,미아동,금강아트빌라(A동),2383009,10,2
강북구,미아동,금강아트빌라(B동),2425000,10,2
강북구,미아동,금강아트빌라(c동),2388108,10,2
강북구,미아동,금강에뜨레,3626149,29,8
강북구,미아동,금강에뜨레2단지,4670818,8,1
강북구,미아동,금강에뜨레2단지201동,4366812,10,4
강북구,미아동,금강에뜨레2단지202동,4670818,8,1
강북구,미아동,금강캐슬,3884424,20,8
강북구,미아동,금강캐슬(327-24),4114583,10,6
강북구,미아동,금강팰리스,3162321,8,4
강북구,미아동,금성빌라,1789126,7,3
강북구,미아동,금성빌라(325-21),2425431,8,1
강북구,미아동,금성빌라(417-18),6139015,5,3
강북구,미아동,금송빌라,3713768,6,3
강북구,미아동,금정빌라,4116865,10,2
강북구,미아동,금호빌라,2189498,11,5
강북구,미아동,기상아트빌,2425598,8,5
강북구,미아동,꿈의숲롯데캐슬,6707460,546,4
강북구,미아동,꿈의숲한신더휴,6767862,203,4
강북구,미아동,꿈의숲해링턴플레이스,6814692,940,8
강북구,미아동,나눔빌라,2245446,8,6
